,id,track_name,artist_name,artist_pop,artist_genres,album,track_pop,valence,energy,danceability,loudness,speechiness,acousticness,instrumentalness,liveness,mode,key,tempo,duration_ms,time_signature,mood
3163,5ek7yAlfYPvt8kcJDE7y1a,Misty,Another One,29,unknown,Misty,40,0.533,0.333,0.713,-18.561,0.239,0.925,0.907,0.133,0,1,74.995,102000,4,calm
3164,5tSi8Mu16cw5NfGHeBrCbQ,Being Together,Amess,60,lo-fi beats,Are we okay?,41,0.296,0.123,0.764,-14.854,0.18,0.961,0.916,0.104,1,4,65.008,134000,4,calm
3165,5KmIXe944sDOGv9BGcHuoh,warm silence,steezy prime,57,lo-fi beats,constellations,37,0.164,0.166,0.54,-20.592,0.0321,0.958,0.829,0.11,0,5,76.022,113684,4,calm
3166,37Cr3jw4FUznKjfT98Pqfl,Riviera,Lé Mon,47,lo-fi beats,Riviera,46,0.348,0.203,0.593,-19.429,0.0922,0.787,0.9,0.118,0,1,172.018,125581,4,calm
3167,71bAyta4RdZzkI7vloRsqy,I'm Right Here,El Ten Eleven,39,american post-rock,I'm Right Here,23,0.318,0.777,0.53,-5.708,0.0317,0.355,0.112,0.127,1,9,72.995,281111,4,calm
3168,08uGE2pMyAglCoJu3UKQoW,Fragment II,Drinker,20,chill pop,Fragments,33,0.321,0.537,0.781,-9.978,0.0437,0.415,0.792,0.1,0,0,133.99,339922,4,calm
3169,04WCtUqAyuEr9TDt7Hm6Wi,Bet She Looks Like You,Nick Hakim,51,alternative r&b,Green Twins,46,0.38,0.747,0.57,-3.399,0.0313,0.0942,0.554,0.337,0,5,84.976,225360,4,calm
3170,39cop5xNx9C1u5ssGvuUYL,Frozen Away,altopalo,29,chill pop,frozenthere,35,0.168,0.226,0.568,-17.773,0.0924,0.836,0.778,0.0874,0,10,91.992,168919,4,calm
3171,79nZqX37kRq35LKbiJxUW0,Echo Park,Reptaliens,29,indie garage rock,VALIS,32,0.961,0.502,0.788,-13.762,0.033,0.794,0.817,0.103,0,2,129.994,198958,4,calm
3172,6wK7VH9tPHMztCRHx33E8u,Pinch,Instupendo,56,weirdcore,Boys by Girls,36,0.0962,0.297,0.773,-12.328,0.0429,0.233,0.869,0.0994,1,9,109.031,210746,4,calm
3173,2rbA1YZpRnpCWRIk3oF6wR,Cycle,Su Na,26,vapor soul,Cycle,37,0.574,0.928,0.683,-8.575,0.0558,0.799,0.311,0.178,0,5,110.054,188573,4,calm
3174,2AQzUTNoARvzd42LrWFddf,What You Want,Danny Dwyer,45,unknown,What You Want,56,0.612,0.226,0.647,-12.495,0.04,0.748,0.0136,0.119,0,5,180.303,191987,3,calm
3175,35592qATAP1u72mO9oelLc,Where the Money Flows,Peter Cat Recording Co.,46,indian electronic,Bismillah,46,0.355,0.355,0.396,-14.757,0.123,0.657,0.000889,0.349,1,2,75.032,313267,4,calm
3176,63QRe0qUrhp7fR3fTyR1SI,Surf,Common Tiger,24,unknown,Surf,35,0.154,0.6,0.754,-10.656,0.0882,0.223,0.495,0.611,1,2,120.028,175413,4,calm
